Date,Open,High,Low,Close,Volume,Adj Close
2012-05-01,162.089996,162.179993,148.529999,151.619995,12109600,151.619995
2012-04-02,161.960007,163.559998,156.580002,161.880005,10345600,161.880005
2012-03-01,166.100006,167.720001,158.130005,162.119995,12732500,162.119995
2012-02-01,169.75,174.00,164.00,164.289993,15199300,164.289993
2012-01-03,154.759995,169.860001,154.550003,169.309998,11732300,169.309998
2011-12-01,169.850006,170.800003,148.270004,151.990005,14451700,151.990005
2011-11-01,164.029999,175.460007,162.070007,170.130005,14140600,170.130005
2011-10-03,161.089996,170.289993,155.270004,167.339996,13324900,167.339996
2011-09-01,177.440002,185.850006,154.190002,158.059998,24417900,158.059998
2011-08-01,157.470001,184.820007,156.779999,177.720001,34113100,177.720001
2011-07-01,144.759995,159.25,143.970001,158.289993,17263600,158.289993
2011-06-01,149.660004,151.860001,145.199997,146.00,13817900,146.00
2011-05-02,151.460007,153.610001,142.550003,149.639999,18727500,149.639999
2011-04-01,138.649994,153.029999,137.720001,152.369995,16554500,152.369995
2011-03-01,138.570007,141.279999,135.229996,139.860001,13985900,139.860001
2011-02-01,130.520004,138.199997,129.279999,137.660004,13033300,137.660004
2011-01-03,138.669998,139.00,127.800003,129.869995,18384100,129.869995
2010-12-01,135.710007,139.539993,132.860001,138.720001,14306800,138.720001
2010-11-01,132.850006,139.149994,129.479996,135.419998,20239100,135.419998
2010-10-01,127.910004,134.850006,127.910004,132.619995,18065200,132.619995
2010-09-01,122.150002,128.279999,121.150002,127.910004,13748900,127.910004
2010-08-02,116.120003,122.949997,115.199997,122.080002,10320700,122.080002
2010-07-01,120.910004,121.029999,113.080002,115.489998,13600700,115.489998
2010-06-01,119.879997,123.559998,117.050003,121.68,15364700,121.68
2010-05-03,115.910004,122.239998,113.309998,118.879997,25827300,118.879997
2010-04-01,109.970001,115.699997,109.919998,115.360001,13705500,115.360001
2010-03-01,109.480003,112.18,106.239998,108.949997,14786900,108.949997
2010-02-01,106.639999,110.389999,102.279999,109.43,20054900,109.43
2010-01-04,109.82,113.589996,105.18,105.959999,19341900,105.959999
2009-12-01,117.300003,119.540001,105.309998,107.309998,26311300,107.309998
2009-11-02,103.50,116.879997,103.25,115.639999,20993300,115.639999
2009-10-01,98.839996,104.699997,97.739998,102.529999,16962200,102.529999
2009-09-01,93.410004,100.080002,93.059998,98.849998,16485300,98.849998
2009-08-03,94.139999,95.25,91.279999,93.400002,7604600,93.400002
2009-07-01,92.309998,94.029999,88.82,93.349998,9932500,93.349998
2009-06-01,96.470001,96.970001,89.949997,91.18,14721700,91.18
2009-05-01,86.75,96.349998,86.690002,96.199997,14445500,96.199997
2009-04-01,91.339996,91.379997,84.919998,87.269997,13266600,87.269997
2009-03-02,93.400002,94.769997,86.830002,90.279999,21559200,90.279999
2009-02-02,89.879997,98.989998,86.00,92.629997,28106500,92.629997
2009-01-02,85.93,91.489998,78.870003,91.309998,16500200,91.309998
2008-12-01,77.150002,87.099998,72.910004,86.519997,11341300,86.519997
2008-11-03,71.550003,81.720001,68.809998,80.309998,11954200,80.309998
2008-10-01,86.230003,90.839996,66.00,71.339996,19272600,71.339996
2008-09-02,78.160004,92.00,72.510002,85.07,25286400,85.07
2008-08-01,89.50,90.449997,76.610001,81.709999,14293300,81.709999
2008-07-01,92.529999,97.50,88.080002,90.080002,15998700,90.080002
2008-06-02,87.470001,91.900002,84.830002,91.400002,10624300,91.400002
2008-05-01,84.510002,92.110001,83.57,87.449997,9239800,87.449997
2008-04-01,87.860001,93.709999,85.110001,86.650002,12136700,86.650002
2008-03-03,97.519997,100.440002,89.779999,90.410004,16878200,90.410004
2008-02-01,91.75,96.239998,87.300003,96.18,10365800,96.18
2008-01-02,83.559998,92.580002,83.440002,91.400002,12531300,91.400002
2007-12-03,77.389999,83.019997,77.300003,82.459999,6688500,82.459999
2007-11-01,78.400002,83.629997,76.110001,77.32,9895800,77.32
2007-10-01,73.489998,78.949997,71.239998,78.620003,7538200,78.620003
2007-09-04,66.739998,73.800003,66.589996,73.510002,9591500,73.510002
2007-08-01,65.50,67.540001,63.470001,66.519997,5737400,66.519997
2007-07-02,64.510002,68.00,63.880001,65.790001,4932900,65.790001
2007-06-01,65.699997,66.760002,63.389999,64.269997,4018700,64.269997
2007-05-01,66.980003,68.459999,64.519997,65.540001,5157200,65.540001
2007-04-02,65.739998,68.730003,65.029999,67.089996,4635600,67.089996
2007-03-01,66.230003,66.75,62.619999,65.739998,6172600,65.739998
2007-02-01,65.449997,68.330002,63.799999,66.480003,6721000,66.480003
2007-01-03,63.580002,64.980003,59.66,64.830002,5305900,64.830002
2006-12-01,64.199997,64.550003,60.650002,63.209999,3957900,63.209999
2006-11-01,61.029999,64.43,60.68,64.389999,5442500,64.389999
2006-10-02,59.799999,60.650002,55.549999,60.240002,3937500,60.240002
2006-09-01,61.950001,63.630001,56.66,59.470001,4881800,59.470001
2006-08-01,62.919998,65.220001,60.299999,62.290001,4448400,62.290001
2006-07-03,61.959999,66.419998,59.830002,63.16,6576400,63.16
2006-06-01,62.150002,64.190002,55.049999,61.23,9069700,61.23
2006-05-01,65.68,72.260002,63.220001,64.230003,11961500,64.230003
