Date,Price,Open,High,Low,Vol.,Change %
3-Sep-14,2000.72,2003.57,2009.28,1998.14,-,-0.08%
2-Sep-14,2002.28,2004.07,2006.12,1994.85,-,-0.05%
29-Aug-14,2003.37,1998.45,2003.38,1994.65,-,0.33%
28-Aug-14,1996.74,1997.42,1998.55,1990.52,-,-0.17%
27-Aug-14,2000.12,2000.54,2002.14,1996.2,-,0.00%
26-Aug-14,2000.02,1998.59,2005.04,1998.59,-,0.11%
25-Aug-14,1997.92,1991.74,2001.95,1991.74,-,0.48%
22-Aug-14,1988.4,1992.6,1993.54,1984.76,-,-0.20%
21-Aug-14,1992.37,1986.82,1994.76,1986.82,-,0.29%
20-Aug-14,1986.51,1980.46,1988.57,1977.68,-,0.25%
19-Aug-14,1981.6,1972.73,1982.57,1972.73,-,0.50%
18-Aug-14,1971.74,1958.36,1971.99,1958.36,-,0.85%
15-Aug-14,1955.06,1958.87,1964.04,1941.5,-,-0.01%
14-Aug-14,1955.18,1947.41,1955.23,1947.41,-,0.43%
13-Aug-14,1946.72,1935.6,1948.41,1935.6,-,0.67%
12-Aug-14,1933.75,1935.73,1939.65,1928.29,-,-0.16%
11-Aug-14,1936.92,1933.43,1944.9,1933.43,-,0.28%
8-Aug-14,1931.59,1910.35,1932.38,1909.01,-,1.15%
7-Aug-14,1909.57,1923.03,1928.89,1904.78,-,-0.56%
6-Aug-14,1920.24,1917.29,1927.91,1911.45,-,0.00%
5-Aug-14,1920.21,1936.34,1936.34,1913.77,-,-0.97%
4-Aug-14,1938.99,1926.62,1942.92,1921.2,-,0.72%
1-Aug-14,1925.15,1929.8,1937.35,1916.37,-,-0.29%
31-Jul-14,1930.67,1965.14,1965.14,1930.67,-,-2.00%
30-Jul-14,1970.07,1973.21,1978.9,1962.42,-,0.01%
29-Jul-14,1969.95,1980.03,1984.85,1969.95,-,-0.45%
28-Jul-14,1978.91,1978.25,1981.52,1967.31,-,0.03%
25-Jul-14,1978.34,1984.6,1984.6,1974.37,-,-0.48%
24-Jul-14,1987.98,1988.07,1991.39,1985.79,-,0.05%
23-Jul-14,1987.01,1985.32,1989.23,1982.44,-,0.18%
22-Jul-14,1983.53,1975.65,1986.24,1975.65,-,0.50%
21-Jul-14,1973.63,1976.93,1976.93,1965.77,-,-0.23%
18-Jul-14,1978.22,1961.54,1979.91,1960.82,-,1.03%
17-Jul-14,1958.12,1979.75,1981.8,1955.59,-,-1.18%
16-Jul-14,1981.57,1976.35,1983.94,1975.67,-,0.42%
15-Jul-14,1973.28,1977.36,1982.52,1965.34,-,-0.19%
14-Jul-14,1977.1,1969.86,1979.85,1969.86,-,0.48%
11-Jul-14,1967.57,1965.76,1968.67,1959.63,-,0.15%
10-Jul-14,1964.68,1966.67,1969.84,1952.86,-,-0.41%
9-Jul-14,1972.83,1965.1,1974.15,1965.1,-,0.46%
8-Jul-14,1963.71,1976.39,1976.39,1959.46,-,-0.70%
7-Jul-14,1977.65,1984.22,1984.22,1974.88,-,-0.39%
3-Jul-14,1985.44,1975.88,1985.59,1975.88,-,0.55%
2-Jul-14,1974.62,1973.06,1976.67,1972.58,-,0.07%
1-Jul-14,1973.32,1962.29,1978.58,1962.29,-,0.67%
30-Jun-14,1960.23,1960.79,1964.24,1958.22,-,-0.04%
27-Jun-14,1960.96,1956.56,1961.47,1952.18,-,0.19%
26-Jun-14,1957.22,1959.89,1959.89,1944.69,-,-0.12%
25-Jun-14,1959.53,1949.27,1960.83,1947.49,-,0.49%
24-Jun-14,1949.98,1961.97,1968.17,1948.34,-,-0.64%
23-Jun-14,1962.61,1962.92,1963.74,1958.89,-,-0.01%
20-Jun-14,1962.87,1960.45,1963.91,1959.17,-,0.17%
19-Jun-14,1959.48,1957.5,1959.87,1952.26,-,0.13%
18-Jun-14,1956.98,1942.73,1957.74,1939.29,-,0.77%
17-Jun-14,1941.99,1937.15,1943.69,1933.55,-,0.22%
16-Jun-14,1937.78,1934.84,1941.15,1930.91,-,0.08%
13-Jun-14,1936.16,1930.8,1937.3,1927.69,-,0.31%
12-Jun-14,1930.11,1943.35,1943.35,1925.78,-,-0.71%
11-Jun-14,1943.89,1949.37,1949.37,1940.08,-,-0.35%
10-Jun-14,1950.79,1950.34,1950.86,1944.64,-,-0.02%
9-Jun-14,1951.27,1948.97,1955.55,1947.16,-,0.09%
6-Jun-14,1949.44,1942.41,1949.44,1942.41,-,0.46%
5-Jun-14,1940.46,1928.52,1941.74,1922.93,-,0.65%
4-Jun-14,1927.88,1923.06,1928.63,1918.6,-,0.19%
3-Jun-14,1924.24,1923.07,1925.07,1918.79,-,-0.04%
2-Jun-14,1924.97,1923.87,1925.88,1915.98,-,0.07%
30-May-14,1923.57,1920.33,1924.03,1916.64,-,0.18%
29-May-14,1920.03,1910.6,1920.03,1909.82,-,0.54%
28-May-14,1909.78,1911.77,1914.46,1907.3,-,-0.11%
27-May-14,1911.91,1902.01,1912.28,1902.01,-,0.60%
23-May-14,1900.53,1893.32,1901.26,1893.32,-,0.42%
22-May-14,1892.49,1888.19,1896.33,1885.39,-,0.24%
21-May-14,1888.03,1873.34,1888.8,1873.34,-,0.81%
20-May-14,1872.83,1884.88,1884.88,1868.14,-,-0.65%
19-May-14,1885.08,1876.66,1886,1872.42,-,0.38%
16-May-14,1877.86,1871.19,1878.28,1864.82,-,0.37%
15-May-14,1870.85,1888.16,1888.16,1862.36,-,-0.94%
14-May-14,1888.53,1897.13,1897.13,1885.77,-,-0.47%
13-May-14,1897.45,1896.75,1902.17,1896.06,-,0.04%
12-May-14,1896.65,1880.03,1897.13,1880.03,-,0.97%
9-May-14,1878.48,1875.27,1878.57,1867.02,-,0.15%
8-May-14,1875.63,1877.39,1889.07,1870.05,-,-0.14%
7-May-14,1878.21,1868.53,1878.83,1859.79,-,0.56%
6-May-14,1867.72,1883.69,1883.69,1867.72,-,-0.90%
5-May-14,1884.66,1879.45,1885.51,1866.77,-,0.19%
2-May-14,1881.14,1885.3,1891.33,1878.5,-,-0.13%
1-May-14,1883.68,1884.39,1888.59,1878.04,-,-0.01%
30-Apr-14,1883.95,1877.1,1885.2,1872.69,-,0.30%
29-Apr-14,1878.33,1870.78,1880.6,1870.78,-,0.48%
28-Apr-14,1869.43,1865,1877.01,1850.61,-,0.32%
25-Apr-14,1863.4,1877.72,1877.72,1859.7,-,-0.81%
