Date,Price,Open,High,Low,Vol.,Change %
14-Jan-15,1234.4,1229.6,1243.8,1225.6,0.02K,0.01%
13-Jan-15,1234.3,1239.2,1239.3,1230.3,0.02K,0.13%
12-Jan-15,1232.7,1224.2,1234.4,1219.1,0.10K,1.37%
9-Jan-15,1216,1211.1,1220.2,1210.3,0.04K,0.63%
8-Jan-15,1208.4,1207,1215.7,1206.3,0.09K,-0.18%
7-Jan-15,1210.6,1219.2,1219.2,1211.8,0.03K,-0.71%
6-Jan-15,1219.3,1203.5,1220,1203.5,0.10K,1.28%
5-Jan-15,1203.9,1180.3,1206.9,1180.1,0.47K,1.51%
2-Jan-15,1186,1184,1194.5,1169.5,0.14K,-0.07%
1-Jan-15,1186.8,1184.1,1187.5,1184.1,-,0.24%
31-Dec-14,1183.9,1199.2,1199.2,1182.7,0.09K,-1.36%
30-Dec-14,1200.2,1181.4,1210.3,1181.4,0.19K,1.57%
29-Dec-14,1181.7,1186.5,1186.5,1181.3,0.06K,-1.14%
26-Dec-14,1195.3,1177.2,1194.4,1177.2,0.12K,1.55%
25-Dec-14,1177,1175,1178.9,1175,-,0.30%
24-Dec-14,1173.5,1177,1179.3,1173.7,0.02K,-0.37%
23-Dec-14,1177.9,1179.3,1180.3,1175,0.23K,-0.15%
22-Dec-14,1179.7,1198,1198,1172.7,0.22K,-1.35%
19-Dec-14,1195.9,1198,1200.8,1196.5,0.10K,0.10%
18-Dec-14,1194.7,1189.7,1207.3,1189.7,0.20K,0.03%
17-Dec-14,1194.3,1198.2,1199.6,1184,0.09K,0.03%
16-Dec-14,1193.9,1197.2,1222,1192.7,0.22K,-1.10%
15-Dec-14,1207.2,1223.1,1223.1,1198,0.08K,-1.21%
12-Dec-14,1222,1227.8,1227.8,1216.2,0.20K,-0.25%
11-Dec-14,1225.1,1226.6,1232,1216.2,0.26K,-0.31%
10-Dec-14,1228.9,1231.2,1234.6,1226.6,0.31K,-0.21%
9-Dec-14,1231.5,1202,1238,1202,0.31K,3.08%
8-Dec-14,1194.7,1190.6,1207,1187.2,0.18K,0.39%
5-Dec-14,1190.1,1203.1,1206,1186.7,0.56K,-1.44%
4-Dec-14,1207.5,1208.2,1213,1201.6,0.36K,-0.08%
3-Dec-14,1208.5,1198.1,1213.7,1196.1,0.44K,0.78%
2-Dec-14,1199.2,1212.3,1212.3,1191.3,1.24K,-1.54%
1-Dec-14,1218,1160,1220.4,1141.7,5.52K,3.64%
28-Nov-14,1175.2,1197,1198.3,1163.8,11.18K,-1.14%
27-Nov-14,1188.8,1197.3,1199.3,1185.4,-,-0.65%
26-Nov-14,1196.6,1200.5,1201,1193.7,75.30K,-0.04%
25-Nov-14,1197.1,1197.1,1197.1,1197.1,0.00K,0.13%
24-Nov-14,1195.5,1197.7,1197.9,1196.5,0.02K,-0.17%
21-Nov-14,1197.5,1191,1202.4,1189,0.02K,0.57%
20-Nov-14,1190.7,1191.8,1191.9,1190.7,0.00K,-0.24%
19-Nov-14,1193.6,1196.5,1198.3,1190,0.02K,-0.26%
18-Nov-14,1196.7,1197.1,1197.1,1193.9,0.00K,1.16%
17-Nov-14,1183,1183.1,1186.9,1180.6,0.02K,-0.17%
14-Nov-14,1185,1155.2,1191,1148,0.49K,2.06%
